winside,d_1,d_2,d_3,d_4,d_5,r_1,r_2,r_3,r_4,r_5
dire,60,21,38,1,27,53,32,7,17,63
radiant,59,1,51,10,41,7,31,54,69,35
radiant,11,73,21,33,35,53,36,64,34,9
dire,28,21,68,4,14,40,5,50,38,67
radiant,50,47,49,6,7,54,11,9,33,13
radiant,11,55,16,53,50,1,33,60,25,42
radiant,35,58,69,21,73,42,25,26,55,47
radiant,35,65,14,54,6,59,50,42,22,68
radiant,57,34,47,4,59,25,35,33,42,14
dire,14,53,31,61,63,68,9,42,30,4
dire,47,27,54,59,37,34,6,40,64,42
radiant,7,6,31,41,17,20,32,54,9,30
dire,31,16,54,33,67,17,53,40,55,42
radiant,17,23,4,53,25,50,38,27,59,63
dire,10,68,47,69,6,8,45,18,14,32
dire,29,32,21,55,18,1,35,59,60,42
dire,14,63,25,23,2,29,9,21,51,17
dire,9,5,26,18,1,10,60,42,25,30
dire,23,53,11,42,4,57,35,63,2,45
dire,22,37,8,11,28,63,32,51,34,16
dire,25,16,40,42,7,59,51,47,26,11
dire,47,8,16,14,13,73,32,51,26,57
dire,60,55,15,18,32,42,45,41,7,6
dire,35,17,39,54,33,59,13,60,5,32
radiant,67,69,32,31,26,54,21,7,9,19
radiant,19,34,22,11,6,28,47,39,35,21
dire,37,28,33,8,6,49,20,14,47,64
radiant,19,34,22,11,6,28,47,39,35,21
dire,4,1,39,57,2,9,73,52,18,50
radiant,30,60,17,2,57,4,16,33,8,5
radiant,14,15,25,29,34,68,35,16,59,54
radiant,11,39,7,26,51,16,1,22,50,9
dire,53,50,35,4,54,67,22,20,19,14
radiant,14,10,39,19,73,57,6,20,27,67
radiant,64,41,28,73,47,49,34,58,4,35
dire,1,54,7,21,37,53,4,42,28,63
dire,30,8,6,26,14,10,5,29,32,40
radiant,7,129,4,52,16,51,9,45,63,54
radiant,19,53,22,14,67,8,40,26,25,20
dire,13,7,1,8,14,53,35,54,9,25
dire,27,20,53,41,29,61,13,59,30,68
dire,54,68,63,11,42,59,31,26,27,2
radiant,50,27,4,10,2,19,35,49,42,22
radiant,7,26,31,14,54,57,16,9,58,27
dire,42,30,31,32,28,58,54,60,20,9
radiant,21,16,41,52,19,54,59,47,35,34
dire,45,49,34,6,66,10,25,54,63,35
radiant,9,59,55,14,20,57,10,26,16,6
dire,51,50,63,53,22,14,40,25,1,21
dire,16,52,39,54,14,32,36,41,40,37
dire,38,17,49,50,41,69,73,63,21,20
dire,40,50,54,61,7,22,67,6,38,13
radiant,53,64,14,59,47,21,38,54,42,68
radiant,69,39,31,63,47,35,32,16,20,14
radiant,29,6,19,41,21,14,60,31,59,47
dire,59,54,130,61,39,10,1,7,14,21
radiant,8,14,49,19,63,68,26,61,58,59
radiant,6,2,20,21,73,8,1,17,53,51
radiant,57,19,64,8,61,18,58,5,50,60
dire,21,26,38,7,18,14,8,29,73,45
dire,14,32,61,40,53,69,19,5,6,9
dire,68,14,55,49,63,6,23,36,53,15
radiant,8,29,26,5,47,63,36,6,67,60
radiant,66,54,60,14,73,8,68,53,28,40
radiant,33,2,53,59,63,60,1,14,55,30
dire,37,59,4,27,69,54,6,57,20,30
dire,64,9,67,18,40,53,29,34,14,21
radiant,32,60,41,35,11,23,19,28,27,53
radiant,32,6,49,39,67,30,60,55,4,8
radiant,18,49,9,61,37,27,47,20,57,54
radiant,11,2,69,26,4,17,54,9,16,5
dire,9,7,10,27,53,4,51,49,40,26
dire,39,32,20,30,1,53,22,35,60,21
radiant,4,16,22,35,49,14,23,21,45,2
radiant,69,9,16,19,1,21,14,57,47,11
radiant,7,8,53,60,18,31,9,67,6,25
dire,5,1,25,18,13,8,32,10,69,58
radiant,21,14,4,8,13,9,67,1,22,25
radiant,1,35,65,27,29,41,54,20,57,63
radiant,23,25,8,39,29,34,7,2,4,60
radiant,41,30,29,21,55,11,49,42,47,14
radiant,64,10,30,11,14,59,21,6,20,26
radiant,5,29,41,19,61,47,22,35,18,25
radiant,58,34,42,41,7,1,14,32,31,45
dire,5,54,69,6,33,10,31,11,7,32
dire,5,8,20,54,9,14,37,32,6,11
dire,49,20,55,21,68,18,6,5,9,22
radiant,14,10,5,8,1,19,53,54,67,21
dire,55,40,20,19,9,17,16,2,11,54
radiant,15,73,49,53,26,2,8,1,68,9
dire,28,16,64,49,60,26,57,67,52,40
dire,9,1,26,31,32,13,16,61,6,4
radiant,40,10,5,35,49,32,26,6,68,14
dire,4,25,59,39,16,67,35,23,7,47
radiant,55,41,14,27,19,67,53,8,35,31
radiant,5,2,25,4,69,29,47,40,39,54
dire,33,35,14,4,20,45,23,34,6,21
dire,17,21,29,1,16,23,35,22,60,47
dire,31,53,49,41,39,7,68,50,1,16
radiant,10,19,55,54,32,50,28,11,17,40
dire,5,28,61,29,53,1,18,14,68,31
radiant,15,30,2,31,8,6,4,22,54,60
radiant,29,10,73,7,20,5,51,63,37,1
radiant,22,32,16,35,54,31,8,11,20,2
dire,19,30,53,31,47,67,7,60,21,23
radiant,40,53,10,13,35,32,9,29,38,4
dire,68,14,19,53,47,37,21,32,73,8
radiant,41,30,9,2,28,35,40,22,6,42
dire,29,7,55,6,54,73,14,64,20,8
dire,60,32,42,2,58,8,27,31,4,23
dire,59,61,7,21,4,14,54,40,16,30
dire,14,69,54,68,9,60,58,34,16,42
radiant,21,64,1,14,61,6,2,67,53,27
radiant,15,45,14,30,1,54,31,69,5,13
dire,2,27,45,61,15,14,17,18,29,6
radiant,52,36,9,10,42,69,1,41,25,54
dire,14,31,1,40,5,35,18,21,8,52
radiant,41,26,64,63,69,29,8,60,25,59
radiant,54,18,40,73,20,26,7,27,47,59
radiant,22,31,35,18,59,1,21,17,42,20
dire,25,55,6,57,61,17,19,73,45,35
dire,28,6,14,54,9,33,5,38,21,40
radiant,37,63,39,58,1,27,54,34,61,21
radiant,54,20,2,49,58,6,41,34,30,57
radiant,15,19,21,29,60,31,20,54,17,27
radiant,5,6,15,17,29,30,14,35,20,33
radiant,18,14,30,16,32,25,51,65,53,4
radiant,54,21,63,2,5,32,59,53,50,67
dire,25,47,68,14,42,34,41,30,69,1
dire,9,26,21,28,19,60,45,8,38,6
radiant,26,54,25,22,30,21,8,60,67,17
radiant,9,18,23,6,27,7,1,21,5,35
dire,35,33,1,16,25,49,69,10,21,63
radiant,31,21,51,4,8,23,26,73,35,54
dire,22,40,73,35,7,1,20,2,9,27
radiant,17,21,32,27,5,9,37,42,11,68
dire,39,13,49,65,64,30,26,28,14,35
dire,23,55,63,7,17,35,37,28,53,15
dire,17,35,4,25,22,63,13,20,60,36
dire,15,18,16,53,21,14,32,28,45,51
radiant,35,67,11,66,14,19,53,10,5,23
radiant,68,25,2,16,1,14,5,6,9,58
radiant,28,38,8,32,39,58,63,21,54,53
dire,42,20,31,67,57,35,26,1,16,4
dire,31,19,2,20,9,6,5,27,35,51
radiant,20,6,18,51,26,53,1,31,21,13
dire,18,23,35,6,33,30,39,59,40,4
radiant,50,68,9,69,41,29,14,22,53,23
radiant,35,21,34,16,42,40,69,68,6,22
dire,54,1,64,28,45,32,21,7,19,41
dire,53,6,28,40,57,16,20,55,23,21
radiant,54,35,5,7,59,11,31,50,60,16
radiant,16,26,4,1,15,10,54,35,6,14
radiant,15,60,8,26,55,58,10,32,33,14
dire,60,40,36,14,8,59,53,4,39,41
dire,45,57,15,18,9,17,29,7,1,35
radiant,15,58,60,1,26,14,33,40,18,50
dire,60,32,40,47,35,28,1,14,68,67
dire,41,21,14,45,54,6,23,60,67,26
dire,21,32,35,22,59,9,20,65,41,49
dire,54,25,14,5,45,11,26,49,59,6
radiant,60,54,7,47,63,32,18,15,27,29
dire,55,53,35,60,21,38,7,1,37,17
radiant,67,32,14,53,25,30,66,69,42,59
dire,15,18,14,55,49,22,2,20,54,32
dire,6,40,18,22,14,2,35,33,41,21
radiant,17,59,14,68,55,53,30,67,9,13
radiant,7,39,6,32,23,14,68,2,52,8
dire,57,32,11,28,54,19,38,61,4,58
radiant,23,9,40,14,16,6,41,31,29,67
radiant,58,8,35,20,14,27,60,42,26,59
radiant,60,20,4,31,63,39,67,29,53,19
dire,28,58,60,7,1,26,42,27,14,10
radiant,16,45,7,4,11,67,41,26,68,14
dire,54,1,26,4,53,36,35,33,40,34
radiant,32,15,14,1,26,31,6,20,69,33
dire,15,60,7,30,32,14,54,57,28,25
dire,39,26,60,67,2,19,55,1,5,32
dire,54,19,59,14,25,64,42,47,60,21
radiant,6,14,11,63,5,54,36,4,23,60
radiant,69,35,14,34,4,50,41,60,39,53
radiant,60,54,40,61,4,41,30,35,20,14
radiant,28,26,16,65,11,53,32,14,21,35
radiant,59,60,16,41,14,57,54,63,68,1
radiant,10,33,7,63,17,6,64,28,38,8
dire,7,40,14,4,60,18,36,23,69,21
dire,14,25,36,7,8,54,28,53,32,21
radiant,22,17,47,31,34,30,14,42,58,32
dire,17,14,40,60,21,18,54,10,68,32
radiant,9,8,5,20,28,65,32,10,68,14
dire,57,59,33,1,49,14,5,53,51,6
radiant,54,17,1,47,2,9,27,21,20,19
radiant,16,28,66,67,14,6,7,50,41,54
radiant,68,31,8,21,36,1,15,16,55,19
dire,34,1,14,36,21,61,7,54,73,53
radiant,17,69,51,33,9,73,53,40,14,63
radiant,10,13,9,38,30,31,6,54,14,53
dire,51,63,27,47,33,4,21,2,35,26
radiant,19,6,7,66,11,33,63,10,57,35
dire,27,54,49,51,50,26,23,16,19,64
dire,2,38,9,66,15,32,49,34,63,57
dire,2,8,6,45,1,22,16,15,20,35
dire,18,30,29,1,53,68,63,23,47,7
radiant,65,25,60,28,14,59,1,17,37,30
dire,18,30,29,1,53,68,63,23,47,7
dire,11,22,35,59,14,42,47,55,61,27
radiant,40,67,18,20,68,39,49,59,9,7
radiant,73,31,25,20,6,2,14,53,22,8
dire,27,41,69,19,15,21,14,8,58,11
dire,63,69,7,42,51,10,58,36,59,2
dire,59,7,65,1,52,21,28,14,47,25
radiant,49,35,18,7,25,32,31,9,59,54
radiant,69,25,35,13,39,8,16,26,54,40
radiant,1,49,28,9,4,38,31,53,60,54
radiant,27,6,47,14,66,65,61,68,41,31
dire,1,5,27,14,22,16,23,21,32,35
radiant,68,26,54,60,10,69,47,29,41,21
dire,34,18,4,16,60,57,14,41,11,10
radiant,5,69,1,53,22,23,14,26,16,47
dire,16,36,51,40,45,34,32,57,67,9
dire,50,66,9,32,16,20,39,28,8,36
radiant,17,32,39,63,20,53,57,26,34,10
radiant,59,49,31,33,41,6,5,19,20,45
radiant,14,49,61,5,26,34,63,1,31,42
dire,59,31,19,37,54,53,1,13,60,47
radiant,31,41,21,38,32,69,26,22,8,18
radiant,42,65,37,14,8,31,10,22,60,57
dire,23,49,25,29,9,21,17,14,6,16
radiant,67,11,54,16,68,42,53,40,5,8
dire,4,15,68,42,34,63,16,23,22,14
dire,6,42,9,21,26,20,1,49,57,17
dire,59,63,22,21,6,18,17,60,30,69
dire,29,10,4,31,14,23,7,25,42,17
dire,21,14,20,66,35,61,49,59,9,54
dire,68,59,29,14,32,19,57,53,54,66
radiant,18,37,35,14,22,58,11,23,50,59
radiant,51,27,9,32,39,28,26,21,73,59
radiant,27,31,41,32,20,21,1,6,14,67
radiant,32,53,28,40,26,54,50,52,55,29
dire,40,39,54,35,31,59,5,52,20,47
radiant,19,32,59,45,31,28,47,21,4,23
radiant,50,41,28,53,14,6,57,8,5,26
radiant,59,14,33,9,22,58,32,68,67,2
dire,9,40,18,41,50,69,53,30,67,25
dire,59,7,4,33,25,30,14,31,19,47
radiant,19,1,35,41,27,50,67,22,20,51
radiant,42,49,39,15,8,32,35,61,28,54
dire,54,63,22,20,14,42,40,18,55,41
dire,20,41,6,1,2,14,35,54,60,5
radiant,58,42,51,52,32,19,54,1,21,22
dire,61,22,41,49,19,21,30,1,50,17
dire,41,54,30,34,32,8,9,59,28,23
dire,9,7,22,69,41,36,18,52,42,54
dire,54,33,64,4,1,31,40,8,61,21
radiant,54,53,52,36,8,49,11,50,5,16
radiant,39,59,32,34,4,14,1,42,21,16
dire,8,59,42,40,26,17,55,11,5,19
dire,5,21,31,6,23,73,59,26,32,13
radiant,51,17,14,20,27,16,57,40,52,8
dire,1,37,23,59,11,41,22,54,20,31
radiant,30,5,8,59,63,6,16,20,54,49
radiant,32,20,7,30,65,68,11,2,29,6
dire,1,54,20,41,52,51,67,26,30,61
radiant,32,54,14,21,15,63,25,41,28,39
radiant,39,54,63,26,68,1,31,34,60,27
radiant,7,45,26,32,10,14,6,23,36,53
dire,68,5,11,54,9,4,7,58,26,63
radiant,39,47,68,67,53,29,58,16,4,6
radiant,39,47,68,67,53,29,58,16,4,6
dire,42,20,25,6,69,35,59,32,11,39
radiant,47,8,54,40,34,32,5,42,60,10
dire,1,13,5,14,60,50,7,41,23,51
dire,49,63,6,54,69,21,40,30,18,35
dire,54,35,13,7,1,25,38,21,11,68
dire,64,49,1,33,59,63,11,29,25,47
radiant,6,7,47,19,54,53,14,33,16,41
radiant,42,17,28,8,37,31,20,6,38,32
dire,38,8,6,29,36,59,17,53,21,41
dire,42,28,35,53,45,51,39,34,4,29
radiant,49,13,32,60,64,54,14,30,34,40
radiant,16,41,10,59,22,54,30,58,32,14
dire,59,26,5,6,28,35,68,14,10,19
radiant,39,63,54,47,21,68,9,7,32,14
radiant,65,28,1,59,22,35,68,49,61,53
dire,42,18,4,21,25,14,22,67,50,40
dire,36,14,28,35,60,63,1,20,23,32
dire,42,26,17,18,41,27,10,38,25,11
radiant,34,53,19,14,73,54,11,50,59,1
radiant,39,59,35,52,54,25,4,26,28,7
radiant,30,41,16,64,9,1,31,18,32,47
radiant,54,17,1,47,2,9,27,21,20,19
radiant,54,17,1,47,2,9,27,21,20,19
radiant,20,61,40,54,9,15,31,51,16,1
radiant,54,17,1,47,2,9,27,21,20,19
dire,42,1,51,129,69,5,40,16,35,55
radiant,50,39,2,54,11,42,60,47,26,67
radiant,54,17,1,47,2,9,27,21,20,19
radiant,54,17,1,47,2,9,27,21,20,19
radiant,69,11,47,1,2,21,9,14,54,20
dire,52,60,17,53,54,59,14,31,21,40
radiant,42,31,35,8,20,1,21,6,29,38
radiant,27,7,1,9,25,17,5,59,4,57
dire,39,7,14,35,26,6,68,28,27,32
radiant,20,45,64,26,57,59,69,38,8,23
radiant,20,16,17,61,73,60,21,35,68,23
dire,32,14,18,19,29,58,28,21,1,11
dire,5,60,20,16,9,8,39,73,18,63
dire,7,69,9,15,27,1,31,6,47,53
radiant,21,14,26,7,19,45,64,9,10,1
dire,19,8,39,20,35,73,68,1,6,42
radiant,16,45,17,52,29,5,49,27,9,57
dire,9,17,28,16,64,42,53,21,10,61
dire,65,5,21,16,11,73,1,27,63,50
radiant,61,35,14,28,58,9,31,2,54,26
dire,30,40,1,33,2,59,17,20,64,11
dire,10,20,47,54,68,38,34,42,45,21
dire,39,55,8,4,73,35,21,28,59,15
dire,31,54,33,49,18,6,22,35,23,47
radiant,54,31,59,30,16,40,9,27,11,42
dire,19,4,32,65,41,47,54,21,5,22
dire,4,17,32,63,13,1,14,7,59,21
radiant,53,35,15,63,69,19,41,5,51,20
dire,60,37,17,25,19,29,9,1,35,55
dire,69,47,53,14,68,18,35,27,22,28
radiant,14,30,1,34,28,59,60,53,61,16
dire,59,32,66,47,68,42,58,35,34,40
dire,32,45,36,60,15,34,6,61,28,20
dire,18,14,53,8,4,73,20,29,28,9
dire,69,9,34,35,7,4,42,33,25,50
dire,55,40,20,19,9,17,16,2,11,54
radiant,14,22,25,4,8,57,35,16,5,58
radiant,7,21,61,30,64,41,68,5,54,40
radiant,1,5,19,11,9,49,30,29,61,22
dire,15,4,14,2,41,26,63,11,1,29
dire,35,73,63,1,32,4,5,54,25,47
dire,28,21,32,1,5,57,54,51,8,41
dire,40,41,55,34,11,52,7,36,9,60
dire,53,21,1,59,19,15,73,68,63,2
dire,16,31,13,14,4,40,6,25,59,51
dire,59,26,54,21,29,7,53,2,6,52
dire,59,26,54,21,29,7,53,2,6,52
dire,59,26,54,21,29,7,53,2,6,52
dire,59,26,54,21,29,7,53,2,6,52
dire,54,27,11,42,58,40,25,14,49,30
radiant,22,16,47,45,6,40,29,7,31,1
dire,50,60,33,32,16,59,17,9,28,51
dire,28,45,26,14,6,17,19,21,42,8
radiant,47,5,20,68,60,63,31,1,42,7
radiant,17,19,2,41,31,36,28,53,8,21
dire,26,5,15,8,22,6,21,32,53,19
radiant,13,7,35,54,53,42,19,32,22,15
dire,9,73,52,55,8,39,11,47,7,69
dire,17,19,47,32,5,69,21,49,25,13
dire,68,61,39,32,67,8,37,59,55,69
radiant,40,26,55,2,21,1,27,34,22,49
radiant,64,19,13,20,1,60,5,39,47,54
radiant,36,32,17,7,63,27,57,67,11,23
radiant,59,16,11,68,28,20,52,60,7,4
radiant,35,42,61,47,63,6,57,9,27,1
dire,14,26,54,7,1,68,16,47,55,11
dire,35,15,2,34,21,6,18,64,30,5
dire,47,14,39,7,54,6,16,11,53,32
dire,66,61,5,6,16,29,14,32,60,30
radiant,32,23,47,19,7,20,21,14,6,25
dire,53,32,19,68,35,59,5,45,11,21
radiant,8,29,4,26,28,17,35,19,1,18
radiant,50,16,32,54,59,5,19,2,35,34
radiant,4,26,60,18,21,42,32,1,16,53
radiant,39,41,19,61,55,15,6,33,2,28
radiant,60,59,29,35,69,61,63,8,28,20
radiant,42,8,39,25,23,1,10,6,14,7
radiant,58,68,21,16,25,9,10,69,35,14
dire,53,6,23,2,57,69,11,63,21,54
radiant,69,41,68,36,27,52,51,42,33,47
radiant,5,6,14,10,59,49,50,67,11,13
dire,35,47,16,53,23,18,21,8,49,10
dire,8,50,58,14,35,47,41,65,57,9
dire,8,50,58,14,35,47,41,65,57,9
dire,21,26,41,32,49,4,65,18,16,10
dire,32,19,21,64,60,68,33,28,40,1
radiant,69,41,8,30,35,21,1,20,19,28
radiant,14,38,40,9,73,61,5,23,54,53
radiant,50,7,54,6,11,28,68,41,4,29
radiant,21,30,33,4,69,6,20,54,22,16
radiant,32,21,13,37,1,7,40,2,35,17
dire,54,32,68,9,67,19,6,69,63,60
dire,45,47,30,29,1,53,61,32,11,52
radiant,10,39,32,16,1,27,60,69,31,6
radiant,22,39,8,29,28,1,38,49,35,33
radiant,6,22,2,29,25,14,32,52,42,64
radiant,5,26,19,16,20,58,35,21,31,4
radiant,42,1,50,7,19,29,15,5,10,22
dire,16,67,58,31,23,13,40,7,4,59
radiant,68,40,51,69,8,31,29,59,16,47
radiant,35,54,25,16,69,8,50,31,7,10
radiant,8,27,29,17,61,54,22,35,32,58
radiant,54,45,6,55,16,69,8,47,21,30
dire,29,19,35,4,8,41,22,7,32,73
dire,42,25,47,41,68,60,20,31,51,8
dire,7,32,53,30,14,21,19,15,13,23
radiant,63,47,16,49,5,60,25,58,6,29
dire,63,35,53,4,60,67,16,21,54,15
dire,64,26,11,10,53,35,16,14,73,22
radiant,54,32,29,35,21,22,6,63,15,61
dire,47,28,16,68,41,63,33,2,25,9
dire,45,61,28,9,68,26,21,18,14,10
radiant,29,54,63,53,16,68,41,25,14,35
dire,45,61,28,9,68,26,21,18,14,10
dire,45,61,28,9,68,26,21,18,14,10
dire,45,61,28,9,68,26,21,18,14,10
dire,45,61,28,9,68,26,21,18,14,10
radiant,1,59,8,25,35,15,58,32,60,5
dire,17,57,14,58,9,15,47,51,42,25
radiant,36,23,66,63,47,49,5,32,41,59
radiant,41,4,59,54,31,1,29,6,20,42
radiant,47,16,19,26,9,23,7,14,57,21
radiant,35,9,33,5,11,1,17,14,21,20
radiant,39,64,15,54,6,25,1,21,7,4
dire,63,23,27,26,67,17,5,35,25,1
dire,39,59,54,31,9,49,51,58,10,35
radiant,22,18,40,53,15,19,31,14,1,28
dire,16,5,54,68,8,23,7,31,63,59
dire,29,25,4,10,20,67,60,8,14,65
radiant,6,10,38,50,4,18,7,23,54,61
dire,51,53,6,8,17,63,9,37,21,16
radiant,22,73,41,7,4,9,35,1,51,26
dire,21,53,34,47,2,32,11,69,49,68
dire,35,4,14,31,7,10,16,58,51,22
dire,68,59,6,29,27,30,4,18,64,54
radiant,6,30,16,26,9,29,18,31,41,20
radiant,26,40,60,39,22,53,49,11,4,16
radiant,20,54,1,30,49,2,63,14,53,61
dire,22,7,60,6,1,31,18,35,15,34
radiant,51,57,13,1,66,17,18,21,73,41
dire,20,35,50,14,23,4,29,59,68,1
dire,68,42,19,50,14,53,55,47,7,49
radiant,22,55,23,4,6,35,9,7,14,52
dire,1,47,28,31,21,18,33,42,40,10
dire,19,47,42,22,63,33,26,28,6,7
radiant,54,7,1,64,67,59,14,35,23,20
dire,45,9,28,40,33,25,41,10,7,13
dire,13,7,18,1,31,42,55,33,35,9
radiant,52,1,20,28,16,59,23,15,30,39
dire,54,4,59,60,25,2,67,41,16,53
radiant,47,30,16,26,6,9,60,8,5,28
radiant,40,47,25,29,2,67,52,20,38,16
dire,1,61,25,64,35,30,2,26,32,67
radiant,6,7,47,14,23,8,58,32,51,39
dire,1,16,53,60,68,22,57,9,59,50
dire,61,52,41,7,18,1,40,42,47,73
radiant,20,2,63,28,54,58,49,41,53,22
dire,64,54,29,7,8,25,60,61,16,30
radiant,59,25,30,13,54,53,32,29,39,14
radiant,2,35,63,49,45,40,5,17,59,53
radiant,53,14,32,9,68,31,67,54,51,5
dire,59,27,9,64,14,26,8,2,32,67
dire,21,2,40,17,55,27,29,58,19,59
dire,14,9,41,49,68,26,52,42,67,19
dire,16,49,9,53,18,35,21,14,19,11
dire,40,47,18,55,26,54,59,25,7,15
dire,2,40,39,22,60,25,41,51,6,59
radiant,73,19,32,54,22,4,57,7,68,27
dire,21,60,17,47,54,16,50,39,61,11
dire,73,68,11,41,31,25,49,51,65,32
radiant,47,17,13,5,14,49,40,8,27,6
dire,69,41,57,20,27,35,45,1,19,54
radiant,1,53,54,31,67,51,4,60,9,47
radiant,54,61,10,33,68,36,49,1,8,14
dire,42,5,8,52,4,59,41,39,55,1
dire,26,2,60,6,16,18,58,49,61,54
dire,13,21,55,32,14,10,39,40,2,47
dire,42,15,1,26,13,53,14,17,21,6
dire,42,5,8,52,4,59,41,39,55,1
radiant,5,1,23,42,35,36,40,14,2,68
radiant,68,69,64,6,20,63,55,39,32,58
radiant,6,33,37,22,2,7,8,15,31,32
dire,40,33,60,6,21,9,11,10,25,51
radiant,59,20,4,2,34,38,39,6,57,51
radiant,6,25,23,14,39,59,7,40,50,49
dire,50,60,41,30,7,2,38,54,11,14
dire,68,63,13,14,47,28,57,45,67,21
dire,4,19,15,60,22,39,6,23,20,32
dire,6,25,34,67,29,63,55,33,69,35
radiant,27,53,9,28,54,29,11,45,61,1
dire,1,19,50,16,53,47,2,32,21,55
dire,57,17,54,14,8,29,21,26,60,1
dire,41,65,54,14,21,45,19,11,64,13
dire,23,10,7,39,1,25,30,40,14,64
dire,41,65,54,14,21,45,19,11,64,13
dire,41,65,54,14,21,45,19,11,64,13
dire,41,65,54,14,21,45,19,11,64,13
radiant,1,16,6,68,26,22,63,32,51,38
radiant,61,50,6,32,69,51,16,15,36,21
dire,1,8,52,14,11,15,9,6,47,32
radiant,31,54,42,6,14,19,1,59,23,40
dire,49,32,55,25,52,1,59,64,14,6
dire,17,13,9,16,67,34,18,8,20,53
radiant,9,51,15,19,53,14,68,60,35,66
radiant,39,20,2,6,30,54,19,35,34,29
dire,35,50,53,4,60,67,16,20,32,27
radiant,69,50,55,36,32,9,21,1,5,28
dire,28,68,63,29,17,41,59,26,14,30
radiant,29,73,21,40,67,1,7,60,5,18
dire,40,53,60,31,8,20,14,25,59,54
dire,61,53,14,4,22,42,20,54,21,16
dire,40,28,57,67,33,4,50,14,61,25
radiant,14,63,23,45,8,54,25,34,9,1
dire,30,21,22,69,41,6,31,68,42,59
radiant,42,27,4,61,22,64,16,40,49,8
radiant,57,26,1,42,41,60,21,10,54,22
dire,14,52,4,29,23,2,39,31,21,8
radiant,15,27,2,55,20,16,69,25,41,31
dire,63,50,49,4,22,11,32,28,1,20
dire,18,31,39,42,20,14,6,68,4,65
radiant,65,35,14,7,19,37,40,59,32,60
dire,50,19,53,1,22,7,54,35,14,28
radiant,49,5,11,53,9,68,51,32,19,30
radiant,29,8,73,5,27,16,14,58,63,54
radiant,9,18,50,73,10,68,6,69,11,38
radiant,63,18,67,58,5,29,32,26,31,35
dire,32,38,14,65,18,67,28,9,5,27
radiant,54,11,9,20,42,35,14,6,25,59
dire,18,2,45,40,1,31,69,30,54,36
radiant,7,40,4,60,26,1,19,59,20,52
radiant,29,61,59,65,55,9,39,47,41,57
dire,11,5,1,35,14,21,10,25,45,41
dire,9,61,16,6,64,14,7,27,31,13
radiant,7,14,63,19,8,54,25,6,42,35
dire,6,18,38,42,51,28,57,36,1,10
radiant,68,23,19,1,34,27,59,69,28,60
radiant,10,54,7,68,53,17,69,32,27,1
dire,11,5,51,31,6,18,32,67,2,34
dire,31,45,27,1,29,26,21,14,6,64
dire,73,16,52,54,4,21,14,23,59,35
radiant,4,2,28,30,69,14,40,19,1,68
dire,6,38,69,26,23,60,2,41,5,8
dire,42,61,18,31,23,21,17,54,8,53
radiant,33,8,18,54,1,66,68,49,41,20
dire,47,29,11,67,8,73,57,15,35,4
radiant,2,11,18,17,31,42,14,4,53,10
radiant,5,40,35,69,54,32,61,14,6,60
dire,28,53,1,30,63,73,54,22,20,32
radiant,52,39,9,32,2,66,59,1,25,16
radiant,6,27,63,14,59,57,60,1,53,38
radiant,53,2,26,1,34,14,54,31,7,36
radiant,32,53,36,63,15,4,23,33,57,11
dire,58,29,32,35,28,69,22,73,17,8
dire,51,53,11,31,17,30,57,19,40,42
dire,57,5,1,26,17,40,14,23,10,35
dire,5,11,28,16,29,7,37,6,32,60
dire,57,26,9,55,49,8,27,5,17,4
radiant,53,9,29,34,1,11,66,54,49,61
dire,61,29,14,1,50,13,30,26,73,11
radiant,53,54,20,6,5,14,9,7,11,1
radiant,53,54,20,6,5,14,9,7,11,1
dire,22,40,17,60,61,4,20,59,42,64
dire,57,26,9,55,49,8,27,5,17,4
dire,57,26,9,55,49,8,27,5,17,4
radiant,54,63,36,7,19,21,17,1,16,5
dire,7,6,28,17,50,1,54,25,2,11
dire,41,16,37,57,31,18,15,27,5,8
radiant,31,17,35,6,60,59,14,54,23,41
radiant,49,32,65,35,22,0,52,59,69,6
dire,31,4,60,36,10,6,59,9,21,29
radiant,54,11,53,41,32,5,1,21,59,16
radiant,2,4,36,8,58,20,35,52,69,32
dire,58,29,69,53,63,60,42,55,68,15
radiant,63,34,73,36,41,20,61,52,2,42
dire,22,14,1,41,26,18,34,67,35,6
dire,67,28,9,53,57,14,52,41,31,29
radiant,15,42,54,2,4,65,29,9,67,18
dire,5,57,15,8,69,7,29,35,1,21
radiant,49,59,31,5,54,41,68,60,1,38
dire,1,14,52,6,25,21,58,54,68,19
dire,7,63,61,28,53,6,45,8,40,19
dire,28,16,9,61,39,14,10,58,29,26
radiant,53,32,42,6,51,35,49,34,64,7
dire,47,38,32,57,29,10,14,73,58,6
dire,21,31,50,41,16,35,53,1,17,28
dire,29,22,27,25,63,68,8,5,23,59
dire,29,22,27,25,63,68,8,5,23,59
dire,33,59,20,68,23,1,67,8,7,14
dire,1,59,5,60,50,40,11,15,25,39
radiant,53,64,30,20,1,68,69,47,17,60
dire,20,17,2,29,67,42,73,65,6,7
radiant,16,35,17,50,32,5,28,29,20,27
radiant,47,36,23,32,45,1,8,31,50,28
dire,10,52,35,7,40,17,30,57,6,1
dire,5,21,59,65,10,22,31,7,54,1
dire,51,61,42,28,50,37,54,14,9,0
radiant,39,29,68,16,58,54,27,6,41,60
radiant,6,30,32,10,29,7,9,41,14,21
radiant,21,30,13,60,53,16,29,17,36,6
dire,19,31,8,16,14,35,4,47,9,39
